Model Part,,SortOrder,TmenuOrder,Part SizeX,Part SizeY,Part PosX,Part PosY,Scale Adjust,X Adjust,y Adjust,,#ofTabs ,Tab1 Image,Tab2 Image,Tab3 Image,Tab4 Image,Tab5 Image,Tab6 Image,Tab7 Image,Tab8 Image,Tab9 Image,Tab10 Image,Tab11 Image,Tab12 Image,Tab13 Image,Tab14 Image,Tab15 Image,Tab16 Image,Tab17 Image,Tab18 Image,Tab19 Image,Tab20 Image,,Part Base Image,Part Gloss Image,Gloss Alpha,,,Color Button Base Image,Color Button Gloss Image,Button Gloss Alpha,,,Part Base Image,Part Gloss Image,Gloss Alpha,,,Color Button Base Image,Color Button Gloss Image,Button Gloss Alpha,,,Part Base Image,Part Gloss Image,Gloss Alpha,,,Color Button Base Image,Color Button Gloss Image,Button Gloss Alpha,,,Part Base Image,Part Gloss Image,Gloss Alpha,,,Color Button Base Image,Color Button Gloss Image,Button Gloss Alpha,,,Part Base Image,Part Gloss Image,Gloss Alpha,,,Color Button Base Image,Color Button Gloss Image,Button Gloss Alpha,,,Part Base Image,Part Gloss Image,Gloss Alpha,,,Color Button Base Image,Color Button Gloss Image,Button Gloss Alpha,,,Part Base Image,Part Gloss Image,Gloss Alpha,,,Color Button Base Image,Color Button Gloss Image,Button Gloss Alpha,,,Part Base Image,Part Gloss Image,Gloss Alpha,,,Color Button Base Image,Color Button Gloss Image,Button Gloss Alpha,,,Part Base Image,Part Gloss Image,Gloss Alpha,,,Color Button Base Image,Color Button Gloss Image,Button Gloss Alpha,,,Part Base Image,Part Gloss Image,Gloss Alpha,,,Color Button Base Image,Color Button Gloss Image,Button Gloss Alpha,,,Part Base Image,Part Gloss Image,Gloss Alpha,,,Color Button Base Image,Color Button Gloss Image,Button Gloss Alpha,,,Part Base Image,Part Gloss Image,Gloss Alpha,,,Color Button Base Image,Color Button Gloss Image,Button Gloss Alpha,,,Part Base Image,Part Gloss Image,Gloss Alpha,,,Color Button Base Image,Color Button Gloss Image,Button Gloss Alpha,,,Part Base Image,Part Gloss Image,Gloss Alpha,,,Color Button Base Image,Color Button Gloss Image,Button Gloss Alpha,,,Part Base Image,Part Gloss Image,Gloss Alpha,,,Color Button Base Image,Color Button Gloss Image,Button Gloss Alpha,,,Part Base Image,Part Gloss Image,Gloss Alpha,,,Color Button Base Image,Color Button Gloss Image,Button Gloss Alpha,,,Part Base Image,Part Gloss Image,Gloss Alpha,,,Color Button Base Image,Color Button Gloss Image,Button Gloss Alpha,,,Part Base Image,Part Gloss Image,Gloss Alpha,,,Color Button Base Image,Color Button Gloss Image,Button Gloss Alpha,,,Part Base Image,Part Gloss Image,Gloss Alpha,,,Color Button Base Image,Color Button Gloss Image,Button Gloss Alpha,,,Part Base Image,Part Gloss Image,Gloss Alpha,,,Color Button Base Image,Color Button Gloss Image,Button Gloss Alpha
Shadow,,,,600.0,228.0,300.0,255.5,1.32,300,1520,,,,,,,,,,,,,,,,,,,,,,,TAB1,,SM_Shadow_01.,1,,,,,,,TAB2,,,,,,,,,,TAB3,,,,,,,,,,TAB4,,,,,,,,,,TAB5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAB10,,,,,,,,,,TAB11,,,,,,,,,,TAB12,,,,,,,,,,TAB13,,,,,,,,,,TAB14,,,,,,,,,,TAB15,,,,,,,,,,TAB16,,,,,,,,,,TAB17,,,,,,,,,,TAB18,,,,,,,,,,TAB19,,,,,,,,,,TAB20
01SkinTop,,01,01,216.0,114.0,300.0,649.5,1.32,300,1520,,2,NewTab_Mat,NewTab_Gloss,,,,,,,,,,,,,,,,,,,,01SkinTop_Clay1.,01SkinTop_Gloss1.,1,,,ButtonSEL_Mat,ButtonSEL_MatMAT,1,,,01SkinTop_Clay1.,01SkinTop_Gloss2.,1,,,ButtonSEL_Mat,ButtonSEL_GlossMAT,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02Skin,,02,02,123.0,51.0,299.0,458.0,1.32,300,1520,,2,NewTab_Mat,NewTab_Gloss,,,,,,,,,,,,,,,,,,,,02Skin_Clay1.,02Skin_Gloss1.,1,,,ButtonSEL_Mat,ButtonSEL_MatMAT,1,,,02Skin_Clay1.,02Skin_Gloss2.,1,,,ButtonSEL_Mat,ButtonSEL_GlossMAT,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03Eyes,,03,03,82.0,15.0,311.0,684.0,1.32,300,1520,,1,NewTab_Mat,,,,,,,,,,,,,,,,,,,,,03Eyes_Clay1.,03EyesGLOSS_Clay1.,1,,,ButtonSEL_Mat,ButtonSEL_MatMAT,1,,,03Eyes_Clay1.,03Eyes_Gloss2.,1,,,ButtonSEL_Mat,ButtonSEL_GlossMAT,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04Lashes,,04,04,83.0,12.0,312.5,687.0,1.32,300,1520,,2,NewTab_Mat,NewTab_Gloss,,,,,,,,,,,,,,,,,,,,04Lashes_Clay1.,04Lashes_Gloss1.,1,,,ButtonSEL_Mat,ButtonSEL_MatMAT,1,,,04Lashes_Clay1.,04Lashes_Gloss2.,1,,,ButtonSEL_Mat,ButtonSEL_GlossMAT,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05Brovs,,05,05,68.0,12.0,317.0,693.0,1.32,300,1520,,2,NewTab_Mat,NewTab_Gloss,,,,,,,,,,,,,,,,,,,,05Brovs_Clay1.,05Brovs_Gloss1.,1,,,ButtonSEL_Mat,ButtonSEL_MatMAT,1,,,05Brovs_Clay1.,05Brovs_Gloss2.,1,,,ButtonSEL_Mat,ButtonSEL_GlossMAT,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06Hair,,06,06,217.0,242.0,316.0,600.0,1.32,300,1520,,2,NewTab_Mat,NewTab_Gloss,,,,,,,,,,,,,,,,,,,,06Hair_Clay1.,06Hair_Gloss1.,1,,,ButtonSEL_Mat,ButtonSEL_MatMAT,1,,,06Hair_Clay1.,06Hair_Gloss2.,1,,,ButtonSEL_Mat,ButtonSEL_GlossMAT,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07HairTies,,07,07,137.0,35.0,303.5,664.0,1.32,300,1520,,2,NewTab_Mat,NewTab_Gloss,,,,,,,,,,,,,,,,,,,,07HairTies_Clay1.,07HairTies_Gloss1.,1,,,ButtonSEL_Mat,ButtonSEL_MatMAT,1,,,07HairTies_Clay1.,07HairTies_Gloss2.,1,,,ButtonSEL_Mat,ButtonSEL_GlossMAT,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08Scarft,,08,08,194.0,63.0,298.0,629.0,1.32,300,1520,,2,NewTab_Mat,NewTab_Gloss,,,,,,,,,,,,,,,,,,,,08Scarft_Clay1.,08Scarft_Gloss1.,1,,,ButtonSEL_Mat,ButtonSEL_MatMAT,1,,,08Scarft_Clay1.,08Scarft_Gloss2.,1,,,ButtonSEL_Mat,ButtonSEL_GlossMAT,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09Collar,,09,09,158.0,29.0,295.0,644.5,1.32,300,1520,,2,NewTab_Mat,NewTab_Gloss,,,,,,,,,,,,,,,,,,,,09Collar_Clay1.,09Collar_Gloss1.,1,,,ButtonSEL_Mat,ButtonSEL_MatMAT,1,,,09Collar_Clay1.,09Collar_Gloss2.,1,,,ButtonSEL_Mat,ButtonSEL_GlossMAT,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10Dress,,10,10,150.0,164.0,308.5,554.5,1.32,300,1520,,2,NewTab_Mat,NewTab_Gloss,,,,,,,,,,,,,,,,,,,,10Dress_Clay1.,10Dress_Gloss1.,1,,,ButtonSEL_Mat,ButtonSEL_MatMAT,1,,,10Dress_Clay1.,10Dress_Gloss2.,1,,,ButtonSEL_Mat,ButtonSEL_GlossMAT,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11DressCore,,11,11,155.0,163.0,311.5,532.0,1.32,300,1520,,2,NewTab_Mat,NewTab_Gloss,,,,,,,,,,,,,,,,,,,,11DressCore_Clay1.,11DressCore_Gloss1.,1,,,ButtonSEL_Mat,ButtonSEL_MatMAT,1,,,11DressCore_Clay1.,11DressCore_Gloss2.,1,,,ButtonSEL_Mat,ButtonSEL_GlossMAT,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12DressFlaps,,12,12,156.0,68.0,309.5,510.0,1.32,300,1520,,2,NewTab_Mat,NewTab_Gloss,,,,,,,,,,,,,,,,,,,,12DressFlaps_Clay1.,12DressFlaps_Gloss1.,1,,,ButtonSEL_Mat,ButtonSEL_MatMAT,1,,,12DressFlaps_Clay1.,12DressFlaps_Gloss2.,1,,,ButtonSEL_Mat,ButtonSEL_GlossMAT,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13DressUnder,,13,13,140.0,91.0,306.5,483.0,1.32,300,1520,,2,NewTab_Mat,NewTab_Gloss,,,,,,,,,,,,,,,,,,,,13DressUnder_Clay1.,13DressUnder_Gloss1.,1,,,ButtonSEL_Mat,ButtonSEL_MatMAT,1,,,13DressUnder_Clay1.,13DressUnder_Gloss2.,1,,,ButtonSEL_Mat,ButtonSEL_GlossMAT,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14DressUnderT,,14,14,98.0,32.0,310.0,629.0,1.32,300,1520,,2,NewTab_Mat,NewTab_Gloss,,,,,,,,,,,,,,,,,,,,14DressUnderT_Clay1.,14DressUnderT_Gloss1.,1,,,ButtonSEL_Mat,ButtonSEL_MatMAT,1,,,14DressUnderT_Clay1.,14DressUnderT_Gloss2.,1,,,ButtonSEL_Mat,ButtonSEL_GlossMAT,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15Straps,,15,15,140.0,103.0,298.0,558.0,1.32,300,1520,,2,NewTab_Mat,NewTab_Gloss,,,,,,,,,,,,,,,,,,,,15Straps_Clay1.,15Straps_Gloss1.,1,,,ButtonSEL_Mat,ButtonSEL_MatMAT,1,,,15Straps_Clay1.,15Straps_Gloss2.,1,,,ButtonSEL_Mat,ButtonSEL_GlossMAT,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
